12/6/2023 14:21:26 - IP: ::1, Button: Cars.Index, Acction: Index.GetAll


12/6/2023 14:42:41 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:42:58 - IP: ::1, Button: Edit, Acction: CarsController.Edit.1.View


12/6/2023 14:44:39 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:55:22 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:55:35 - IP: ::1, Button: Details, Acction: CarsController.Details.1


12/6/2023 14:55:43 - IP: ::1, Button: Edit, Acction: CarsController.Edit.1.View


12/6/2023 14:56:05 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:56:08 - IP: ::1, Button: Delete, Acction: CarsController.Delete.1.View


12/6/2023 14:56:10 - IP: ::1, Button: DeleteConfirmed, Acction: CarsController.DeleteConfirmed.1


12/6/2023 14:56:10 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:56:34 - IP: ::1, Button: Index, Acction: CarsController.Index


12/6/2023 14:56:39 - IP: ::1, Button: Create, Acction: CarsController.Create.View


12/6/2023 14:57:03 - IP: ::1, Button: Index, Acction: CarsController.Index


